2026-03-21,ai-publisher-digest,28,[3 stories: 2 supply + 1 demand + 3 targets + 3 drafts + 0 linkedin] email-sent-via:mcp
2026-03-22,ai-publisher-digest,28,[2 stories found: 1 supply + 1 demand + 3 targets + 2 drafts + 0 linkedin] email-sent-via:mcp
2026-03-03,morning-brief,12,MCP unavailable - calendar+gmail skipped; weather+goals delivered
2026-03-04,ai-publisher-digest,~25,7 stories found: 5 supply + 2 demand + 5 targets | Gmail send failed - OAuth port conflict
2026-03-04,ai-publisher-digest,12,4 stories: 2 supply + 1 demand + 1 target
2026-03-04,ai-publisher-digest,14,5 stories: 3 supply + 2 demand + 1 target
2026-03-05,ai-publisher-digest,9,6 stories found: 4 supply + 2 demand + 1 targets + 6 drafts
2026-03-05,ai-publisher-digest,12,1 stories found: 1 supply + 0 demand + 6 targets + 1 drafts
2026-03-05,ai-publisher-digest,25,3 stories found: 1 supply + 2 demand + 0 targets + 3 drafts + 0 linkedin
2026-03-06,ai-publisher-digest,18,1 supply + 0 demand + 0 targets + 1 draft + 0 linkedin — EMAIL FAILED MCP unavailable
2026-03-06,ai-publisher-digest,22,5 stories: 3 supply + 1 demand + 1 legal + 2 targets + 2 drafts + 0 linkedin
2026-03-07,ai-publisher-digest,22,2 supply + 0 demand + 2 targets + 2 drafts + 0 linkedin [EMAIL-FAILED: MCP not loaded in session]
2026-03-08,ai-publisher-digest,25,1 stories: 0 supply + 1 demand + 2 targets + 1 draft — SEND FAILED: google_workspace MCP not connected
2026-03-09,ai-publisher-digest,18,1 stories found: 1 supply + 0 demand + 1 targets + 1 drafts + 0 linkedin
2026-03-10,ai-publisher-digest,22,3 stories found: 2 supply + 1 demand + 2 targets + 3 drafts + 0 linkedin [email-send-failed:uvx-not-installed]
2026-03-10,ai-publisher-digest,22,2 stories: 2 supply + 0 demand + 2 targets + 2 drafts + 0 linkedin [email-sent-via:mcp]
2026-03-11,ai-publisher-digest,28,0 stories found: 0 supply + 0 demand + 0 targets + 0 drafts + 0 linkedin email-sent-via:mcp
2026-03-12,ai-publisher-digest,25,3 stories found: 2 supply + 1 demand + 3 targets + 3 drafts + 0 linkedin email-sent-via:mcp
2026-03-16,ai-publisher-digest,20,3 stories found: 2 supply + 1 demand + 3 targets + 3 drafts + 0 linkedin email-sent-via:mcp
2026-03-18,ai-publisher-digest,28,2 stories found: 2 supply + 0 demand + 1 targets + 2 drafts + 0 linkedin email-sent-via:mcp
2026-03-23,ai-publisher-digest,22,3 stories found: 1 supply + 2 demand + 2 targets + 2 drafts + 0 linkedin email-sent-via:mcp
2026-03-24,ai-publisher-digest,18,2 stories found: 1 supply + 1 demand + 6 targets + 2 drafts + 0 linkedin email-sent-via:mcp
2026-03-24,surging-running-digest,28,[10 stories: 3 performance + 4 results + 0 health + 3 culture + 4 targets] email-sent-via:mcp
2026-03-24,surging-running-digest,28,11 stories [7 results + 1 training + 1 health + 2 culture + 5 targets] email-sent-via:mcp
2026-03-25,ai-publisher-digest,~30,2 stories found: 1 supply + 1 demand + 1 targets + 2 drafts + 0 linkedin email-sent-via:mcp
2026-03-25,surging-running-digest,42,5 stories found: 0 performance + 3 results + 1 health + 0 culture + 4 targets email-sent-via:mcp
2026-03-26,ai-publisher-digest,18,3 stories found: 2 supply + 1 demand + 5 targets + 3 drafts + 0 linkedin email-sent-via:mcp
2026-03-26,surging-running-digest,30,5 stories found: 0 performance + 4 results + 0 health + 1 culture + 5 targets email-sent-via:mcp
2026-03-26,ai-publisher-digest,30,4 stories found: 2 supply + 2 demand + 2 targets + 4 drafts + 1 linkedin email-sent-via:mcp
2026-03-27,ai-publisher-digest,25,3 stories found: 3 supply + 0 demand + 1 targets + 3 drafts + 0 linkedin email-sent-via:mcp
2026-03-29,ai-publisher-digest,25,2 stories found: 2 supply + 0 demand + 2 targets + 2 drafts + 0 linkedin email-sent-via:mcp
2026-03-30,ai-publisher-digest,~25,3 stories found: 1 supply + 2 demand + 1 targets + 3 drafts + 0 linkedin email-send-failed:uvx-permission-blocked
2026-03-29,surging-running-digest,42,3 stories: 0 performance + 2 results + 0 health + 1 culture + 3 targets email-sent-via:mcp
2026-03-30,surging-running-digest,12,5 stories (2 Performance+Training, 2 Race Results, 1 Science),mcp__google_workspace__send_gmail_message
2026-03-30,ai-publisher-digest,22,2 stories: 1 supply + 1 demand + 4 targets + 2 drafts + 0 linkedin,email-sent-via:mcp
2026-03-31,surging-running-digest,45,5 stories (2 perf/training 2 race/news 1 science) gmail-mcp
2026-03-31,ai-publisher-digest,~25,1 stories found: 1 supply + 0 demand + 1 targets + 1 drafts + 0 linkedin [email-sent-via:mcp]
2026-04-01,surging-running-digest,28,3 stories [0 performance + 2 results + 0 health + 1 culture + 4 targets] email-sent-via:mcp
2026-04-01,ai-publisher-digest,~25,2 stories found: 1 supply + 1 demand + 2 targets + 2 drafts + 0 linkedin email-sent-via:mcp
2026-04-01,done,8,extended session - 12 decisions 7 follow-ups
2026-04-01,done,10,extended session 2 - 11 decisions 8 follow-ups monetization + automation
2026-04-02,ai-publisher-digest,28,1 stories found: 1 supply + 0 demand + 0 targets + 1 drafts + 0 linkedin email-sent-via:mcp
2026-04-02,surging-running-digest,45,4 stories: 0 performance + 3 results + 1 health + 0 culture + 5 targets email-sent-via:mcp
2026-04-02,surging-running-digest,22,2 stories found: 1 performance + 0 results + 0 health + 1 culture + 2 targets email-sent-via:mcp [v1.2 test run — tighter 3-day window, expanded sources]
2026-04-02,done,8,extended session - 16 decisions 7 follow-ups
2026-04-02,done,10,extended session - 12 decisions 8 follow-ups carb calc built
2026-04-03,surging-running-digest,42,[3 stories: 1 performance + 2 results + 0 health + 0 culture + 2 targets] email-sent-via:mcp
2026-04-03,ai-publisher-digest,42,3 stories found: 2 supply + 1 demand + 4 targets + 3 drafts + 0 linkedin email-sent-via:mcp
